sample_id,category,indicator,requested_year,page_url,source_series_range,release_ledger_status,actual,forecast_or_consensus,previous,release_timestamp,revision_semantics,point_in_time_classification,evidence_note
TE-COV-011,GROWTH,GDP_GROWTH_RATE,2024,https://tradingeconomics.com/united-states/gdp-growth,1947-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2024 release row reached
TE-COV-012,GROWTH,GDP_GROWTH_RATE,2026,https://tradingeconomics.com/united-states/gdp-growth,1947-2026,RECENT_PRE_CUTOFF_ROWS_ONLY,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,SEMANTICS_UNRESOLVED,PUBLIC_HISTORICAL_RECONSTRUCTION,2026-05-28 and 2026-06-25 Q1 estimates visible; immutable supersession absent
TE-COV-013,LABOUR,NON_FARM_PAYROLLS,2005,https://tradingeconomics.com/united-states/non-farm-payrolls,1939-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2005 release row reached
TE-COV-014,LABOUR,NON_FARM_PAYROLLS,2010,https://tradingeconomics.com/united-states/non-farm-payrolls,1939-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2010 release row reached
TE-COV-015,LABOUR,NON_FARM_PAYROLLS,2015,https://tradingeconomics.com/united-states/non-farm-payrolls,1939-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2015 release row reached
TE-COV-016,LABOUR,NON_FARM_PAYROLLS,2020,https://tradingeconomics.com/united-states/non-farm-payrolls,1939-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2020 release row reached
TE-COV-017,LABOUR,NON_FARM_PAYROLLS,2024,https://tradingeconomics.com/united-states/non-farm-payrolls,1939-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2024 release row reached
TE-COV-018,LABOUR,NON_FARM_PAYROLLS,2026,https://tradingeconomics.com/united-states/non-farm-payrolls,1939-2026,RECENT_PRE_CUTOFF_ROWS_ONLY,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,SEMANTICS_UNRESOLVED,PUBLIC_HISTORICAL_RECONSTRUCTION,2026-06-05 row visible; later text reports a revision to the same reference value
TE-COV-019,MONETARY_POLICY,FED_FUNDS_INTEREST_RATE,2005,https://tradingeconomics.com/united-states/interest-rate,1971-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2005 decision row reached
TE-COV-020,MONETARY_POLICY,FED_FUNDS_INTEREST_RATE,2010,https://tradingeconomics.com/united-states/interest-rate,1971-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2010 decision row reached
TE-COV-021,MONETARY_POLICY,FED_FUNDS_INTEREST_RATE,2015,https://tradingeconomics.com/united-states/interest-rate,1971-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2015 decision row reached
TE-COV-022,MONETARY_POLICY,FED_FUNDS_INTEREST_RATE,2020,https://tradingeconomics.com/united-states/interest-rate,1971-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2020 decision row reached
TE-COV-023,MONETARY_POLICY,FED_FUNDS_INTEREST_RATE,2024,https://tradingeconomics.com/united-states/interest-rate,1971-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2024 decision row reached
TE-COV-024,MONETARY_POLICY,FED_FUNDS_INTEREST_RATE,2026,https://tradingeconomics.com/united-states/interest-rate,1971-2026,RECENT_PRE_CUTOFF_ROWS_ONLY,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,SEMANTICS_UNRESOLVED,PUBLIC_HISTORICAL_RECONSTRUCTION,2026-06-17 Fed decision row visible with GMT; no immutable release instance
TE-COV-025,LIQUIDITY,FED_BALANCE_SHEET,2005,https://tradingeconomics.com/united-states/central-bank-balance-sheet,2002-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2005 release row reached
TE-COV-026,LIQUIDITY,FED_BALANCE_SHEET,2010,https://tradingeconomics.com/united-states/central-bank-balance-sheet,2002-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2010 release row reached
TE-COV-027,LIQUIDITY,FED_BALANCE_SHEET,2015,https://tradingeconomics.com/united-states/central-bank-balance-sheet,2002-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2015 release row reached
TE-COV-028,LIQUIDITY,FED_BALANCE_SHEET,2020,https://tradingeconomics.com/united-states/central-bank-balance-sheet,2002-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2020 release row reached
TE-COV-029,LIQUIDITY,FED_BALANCE_SHEET,2024,https://tradingeconomics.com/united-states/central-bank-balance-sheet,2002-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2024 release row reached
TE-COV-030,LIQUIDITY,FED_BALANCE_SHEET,2026,https://tradingeconomics.com/united-states/central-bank-balance-sheet,2002-2026,NO_PRE_CUTOFF_RECENT_ROW_OBSERVED,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,PARTIALLY_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,UNUSABLE,Visible release rows began after cutoff and Consensus was blank
