record_id,cycle,record_type,allocation,novelty_class,strategy_family,label_formulation,model_role,simple_baseline,status,selected,prior_overlap,data_suitability,final_holdout_access,notes
H014,2,PROPOSAL,EXPLOIT,FEATURE_VARIATION,RANGE_EDGE_DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_RANGE_GATE,SELECTED,true,QRP-C1-J005,NORMALIZED_CFD_RESEARCH,0,Side adjusted H1 range position QRP-C2-J004
H015,2,PROPOSAL,EXPLORE,LABEL_VARIATION,MOMENTUM_ADVERSE_RISK_VETO,ADVERSE_EXCURSION_ATR_EVENT,RISK_VETO_LOGISTIC,ACCEPT_ALL,SELECTED,true,QRP-C1-J006,NORMALIZED_CFD_RESEARCH,0,Non directional path risk QRP-C2-J005
H016,2,PROPOSAL,EXPLORE,NEW_MARKET_HYPOTHESIS,H1_BARRIER_ASYMMETRY,ONE_ATR_BARRIER_CLASS_THREE_WAY,SHALLOW_TREE,TRAINING_MAJORITY_CLASS,SELECTED,true,QRP-C1-J007,NORMALIZED_CFD_RESEARCH,0,Learned upper lower timeout asymmetry QRP-C2-J006
H017,2,PROPOSAL,EXPLORE,LABEL_VARIATION,BARRIER_HOLDING_TIME,BARRIER_TIME_CLASS,HOLDING_TIME_MODEL,TRAINING_MEDIAN_DURATION,DEFERRED,false,QRP-C1-J007,NORMALIZED_CFD_RESEARCH,0,Avoid third ML role in bounded cycle
H018,2,PROPOSAL,EXPLORE,NEW_MARKET_HYPOTHESIS,H1_VOL_EXPANSION_REVERSAL,ONE_ATR_BARRIER_FIRST,SIMPLE_THRESHOLD_RULE,UNCONDITIONAL_FADE,DEFERRED,false,QRP-C1-J007,NORMALIZED_CFD_RESEARCH,0,Avoid second side rule on same labels
H019,2,PROPOSAL,EXPLOIT,FEATURE_VARIATION,COST_HURDLE_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_HURDLE,DEFERRED,false,H006,LIMITED_HYPOTHETICAL_COSTS,0,No new broker realistic cost evidence
QRP-C2-J001,2,COMPLETED,EXPLOIT,FEATURE_VARIATION,VOL_STATE_DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,UNCONDITIONAL_MOMENTUM,REJECTED,false,QRP-C1-J004,NORMALIZED_CFD_RESEARCH,0,Lower tail and decay failed
QRP-C2-J002,2,COMPLETED,EXPLOIT,FEATURE_VARIATION,MULTI_HORIZON_CONSENSUS_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,FIXED_20D_5H,REJECTED,false,QRP-C1-J002,NORMALIZED_CFD_RESEARCH,0,Lower tail and decay failed
QRP-C2-J003,2,COMPLETED,EXPLOIT,FEATURE_VARIATION,H1_ALIGNED_DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_ALIGNMENT,REJECTED,false,QRP-C1-J005,NORMALIZED_CFD_RESEARCH,0,Lower tail and decay failed
QRP-C2-J004,2,COMPLETED,EXPLOIT,FEATURE_VARIATION,RANGE_EDGE_DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_RANGE_GATE,REJECTED,false,QRP-C1-J005,NORMALIZED_CFD_RESEARCH,0,Lower tail fold fraction and decay failed
QRP-C2-J005,2,COMPLETED,EXPLORE,LABEL_VARIATION,MOMENTUM_ADVERSE_RISK_VETO,ADVERSE_EXCURSION_ATR_EVENT,RISK_VETO_LOGISTIC,ACCEPT_ALL,REJECTED,false,QRP-C1-J006,NORMALIZED_CFD_RESEARCH,0,No inner eligible candidate
QRP-C2-J006,2,COMPLETED,EXPLORE,NEW_MARKET_HYPOTHESIS,H1_BARRIER_ASYMMETRY,ONE_ATR_BARRIER_CLASS_THREE_WAY,SHALLOW_TREE,TRAINING_MAJORITY_CLASS,REJECTED,false,QRP-C1-J007,NORMALIZED_CFD_RESEARCH,0,No inner eligible candidate
H020,3,PROPOSAL_BLOCKED,UNALLOCATED,NEW_INFORMATION_SOURCE,INTRADAY_MACRO_SENTIMENT_VETO,FIVE_BAR_OR_BARRIER_OUTCOME,NONE,UNCHANGED_H1_EVENT_WITHOUT_VETO,BLOCKED_SOURCE_NOT_CERTIFIED,false,QRP-C1-J007,NO_CERTIFIED_NONPRICE_ROWS,0,Every historical metric requires PREVIOUSLY_EXPOSED_WINDOW and cannot promote
H021,3,PROPOSAL_BLOCKED,UNALLOCATED,NEW_STRATEGY_FAMILY,DAILY_FUNDAMENTAL_SENTIMENT_PRIMARY,MULTI_DAY_NET_RETURN,NONE,NO_TRADE_AND_FIXED_DAILY_MOMENTUM,BLOCKED_SOURCE_NOT_CERTIFIED,false,QRP-C1-BL002,NO_CERTIFIED_NONPRICE_ROWS,0,Protected forward window is primary promotion gate and remains unopened
MLR-TECH-001,MLR1,COMPLETED_TECHNICAL_ONLY,CONTROL,PARAMETER_VARIATION,MACRO_LIQUIDITY_REVERSAL_DETECTOR,EVENT_FREQUENCY,NONE,PRIMARY_RATIO_0_50,DESCRIPTIVE_ONLY,false,NONE,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,Three preregistered body-ratio frequency variants; no economic outcome
MLR-TECH-002,MLR1,COMPLETED_TECHNICAL_ONLY,CONTROL,PARAMETER_VARIATION,MACRO_LIQUIDITY_REVERSAL_DETECTOR,EVENT_FREQUENCY,NONE,CLOSE_ONLY_PRIMARY,DESCRIPTIVE_ONLY,false,NONE,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,Close-only versus full-body frequency only; primary unchanged
MLR-TECH-003,MLR1,COMPLETED_TECHNICAL_ONLY,CONTROL,PARAMETER_VARIATION,MACRO_LIQUIDITY_REVERSAL_DETECTOR,EVENT_FREQUENCY,NONE,EMA20_EMA50_PRIMARY,DESCRIPTIVE_ONLY,false,NONE,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,EMA trend versus no-trend technical frequency only
MLR-TECH-004,MLR1,COMPLETED_TECHNICAL_ONLY,CONTROL,PARAMETER_VARIATION,MACRO_LIQUIDITY_REVERSAL_DETECTOR,EVENT_FREQUENCY,NONE,THREE_POST_CLOSE_H4_PRIMARY,DESCRIPTIVE_ONLY,false,NONE,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,Four H4-window frequency variants; no selection or economics
MLR-TECH-005,MLR1,COMPLETED_TECHNICAL_ONLY,CONTROL,PARAMETER_VARIATION,MACRO_LIQUIDITY_REVERSAL_OB,ZONE_FREQUENCY,NONE,OB_LOOKBACK_10_PRIMARY,DESCRIPTIVE_ONLY,false,NONE,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,Three preregistered OB lookback variants; no selection or economics
MLR-TECH-006,MLR1,COMPLETED_TECHNICAL_ONLY,CONTROL,PARAMETER_VARIATION,MACRO_LIQUIDITY_REVERSAL_OB,ZONE_FREQUENCY,NONE,OB_DISPLACEMENT_1_ATR_PRIMARY,DESCRIPTIVE_ONLY,false,NONE,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,Three preregistered OB displacement variants; no selection or economics
MLR-TECH-ECO-001,MLR1,COMPLETED_TECHNICAL_ONLY,EXPLOIT,ECONOMIC_EVALUATION,MACRO_LIQUIDITY_REVERSAL_TECHNICAL,STOP_BEFORE_2R_TARGET,NONE,D1_AND_D1_H4_GENERIC_CONTROLS,TECHNICAL_EDGE_NOT_FOUND,false,MLR-TECH-001_TO_006,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,454 eligible setups; 306 medium-cost fills; all seven strategies negative; full macro strategy remains blocked
MLR-TECH-ABL-001,MLR1,COMPLETED_TECHNICAL_ONLY,EXPLORE,PARAMETER_VARIATION,MACRO_LIQUIDITY_REVERSAL_TECHNICAL,STOP_BEFORE_1_5R_DIAGNOSTIC,NONE,INTENDED_2R_PRIMARY,REJECTED,false,MLR-TECH-ECO-001,NAS100_PROBABLE_CFD_SOURCE_CLOCK_UNKNOWN,0,One authorized target diagnostic; all strategies and all permitted CPCV splits remain negative
