schema_version,component_id,repository,path,current_contract,evidence,decision,target_contract,reason,required_control
1.0.0,LARAVEL_MIGRATION_HISTORY,Laravel sibling,database/migrations,20 migrations including research-news lineage,Disposable SQLite migrate:fresh PASS,EXTEND_WITH_NEW_MIGRATION_AFTER_REVIEW,One versioned migration for 11 macro tables plus driver triggers,No current macro evidence schema is sufficient,Require sibling version control and clean target-driver proof before apply
1.0.0,RAW_MACRO_STORAGE,Laravel sibling,storage/app,No discovered immutable macro raw layout or retention ledger,Filesystem inventory,BUILD_PRIVATE_NAMESPACE,storage/app/private/macro_raw or approved object store,Raw response bytes must be preserved and must not sit under public/,Atomic write fsync rename hash verify quarantine and manifest retention
1.0.0,RESEARCH_PYTHON_PACKAGE,React research repo,research/src/smartmarketscope_quant/macro_regime,Deterministic Role 2 and Role 3 validators with hash-bound inputs,Existing modules and 198-test suite baseline,REUSE_VALIDATION_LAYER,Role 4 contract validator and later independent exports,Already owns research artifact validation and keeps raw dataset unchanged,Do not use Python proof as a substitute for target-driver Laravel migration testing
1.0.0,MACRO_SOURCE_PROVIDERS,Target schema,macro_source_providers,No existing equivalent table,Repository and Laravel inventory,BUILD_NEW_VERSIONED_TABLE,Versioned provider/source-family metadata,Provider metadata must not be silently rewritten for historical evidence,Append provider versions; DB deny update/delete
1.0.0,MACRO_SOURCE_RUNS,Target schema,macro_source_runs,No existing macro equivalent; news table is only a pattern,Role 2 25-run contract and Role 3 34-route contract,BUILD_NEW_APPEND_ONLY_TABLE,Terminal immutable attempts with resume/idempotency/hash/redaction,Must distinguish 25 retained runs and future bounded attempts,Insert terminal rows only; resume appends child run
1.0.0,MACRO_RAW_ARTIFACTS,Target schema,macro_raw_artifacts,No existing equivalent table,Role 2 has 25 raw paths and 23 distinct byte hashes,BUILD_NEW_IMMUTABLE_TABLE,One artifact identity per retained/downloaded body,Identical bytes may legitimately have separate source identities,Unique immutable path; hash need not be globally unique
1.0.0,MACRO_OBSERVATIONS,Target schema,macro_observations,No sufficient existing table,Role 2 1730 versions and supersession chains,BUILD_NEW_IMMUTABLE_TABLE,Point-in-time versions with J0/J1/J2/source/raw lineage,Calendar rows cannot represent vintage revision or conservative effective semantics,Same-identity supersession preserves provider route series indicator category bundle and reference date
1.0.0,MACRO_DERIVED_STATE_TABLES,Target schema,macro_indicator_states through macro_regime_snapshots,No existing equivalent tables,Program directive sections 12 and 16-27,BUILD_NEW_IMMUTABLE_TABLES,Versioned indicator bundle category and regime state,Derived rows need exact observation/config/code/registry lineage,Snapshot trigger enforces named category identity score timing null consistency and valid count; no Role 4 scoring
1.0.0,MACRO_EVENT_LEDGER,Target schema,macro_event_update_ledger,No existing equivalent table,Program directive sections 12 and 28,BUILD_NEW_APPEND_ONLY_TABLE,Readable before/after macro update lineage,Required for historical audit and drill-down,Enforce observation indicator bundle category timing hash and before/after snapshot identity/value lineage
1.0.0,MACRO_TECHNICAL_LINKS,Target schema,macro_technical_links,No existing equivalent table,Program directive sections 12 and 30,BUILD_NEW_IMMUTABLE_TABLE,Snapshot-as-of technical setup links,Must prove copied macro state is exact and effective no later than actionable time,Enforce snapshot time scoring version five category scores final score and bias equality
1.0.0,MACRO_BACKTEST_RUNS,Target schema,macro_backtest_runs,No existing equivalent table,Program directive sections 12 and 31-35,BUILD_NEW_IMMUTABLE_TABLE,Terminal hash-bound result run lineage,Backtest rows must never become mutable status records,Insert one terminal attempt row; zero Role 4 runs
