check_id,scope,status,checked_count,error_count,warning_count,failure_codes,evidence
R7-REGISTRY-BUNDLE-MAPPING,Role 6 frozen registry mapping,PASS,5216,0,0,,ASSERTIONS_PASSED
R7-REVISION-ORDER,revision chronology,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-SCORE-BOUNDARIES,frozen score boundaries,PASS,6,0,0,,ASSERTIONS_PASSED
R7-SNAPSHOT-CATEGORY-LINEAGE,category to snapshot lineage,PASS,1718,0,0,,ASSERTIONS_PASSED
R7-SNAPSHOT-COVERAGE,snapshot coverage,PASS,1718,0,0,,ASSERTIONS_PASSED
R7-SNAPSHOT-OBS-LINEAGE,category to snapshot lineage,PASS,1718,0,0,,ASSERTIONS_PASSED
R7-SNAPSHOT-STATE-LINEAGE,category to snapshot lineage,PASS,1718,0,0,,ASSERTIONS_PASSED
R7-SNAPSHOT-UNKNOWN,coverage veto,PASS,1718,0,0,,ASSERTIONS_PASSED
R7-STATE-ROW-CENSUS,state cardinality,PASS,1,0,0,,ASSERTIONS_PASSED
R7-SUPERSEDES,same-reference replacement lineage,PASS,6589,0,0,,ASSERTIONS_PASSED
R7-UNSCORABLE-REPLACEMENT,unscorable update replacement,PASS,1,0,0,,ASSERTIONS_PASSED
R7-UPSTREAM-BUNDLE-METADATA,Role 5 H.4.1 metadata,PASS_WITH_DISCLOSED_WARNING,0,0,2456,,H41-US_FED_RESERVE_BALANCES-2002-12-18 input=FED_BALANCE_SHEET_BUNDLE registry=BANK_RESERVES_BUNDLE; H41-US_TREASURY_GENERAL_ACCOUNT-2002-12-18 input=FED_BALANCE_SHEET_BUNDLE registry=LIQUIDITY_DRAINS_BUNDLE; H41-US_FED_RESERVE_BALANCES-2002-12-25 input=FED_BALANCE_SHEET_BUNDLE registry=BANK_RESERVES_BUNDLE; H41-US_TREASURY_GENERAL_ACCOUNT-2002-12-25 input=FED_BALANCE_SHEET_BUNDLE registry=LIQUIDITY_DRAINS_BUNDLE; H41-US_FED_RESERVE_BALANCES-2003-01-01 input=FED_BALANCE_SHEET_BUNDLE registry=BANK_RESERVES_BUNDLE; H41-US_TREASURY_GENERAL_ACCOUNT-2003-01-01 input=FED_BALANCE_SHEET_BUNDLE registry=LIQUIDITY_DRAINS_BUNDLE; H41-US_FED_RESERVE_BALANCES-2003-01-08 input=FED_BALANCE_SHEET_BUNDLE registry=BANK_RESERVES_BUNDLE; H41-US_TREASURY_GENERAL_ACCOUNT-2003-01-08 input=FED_BALANCE_SHEET_BUNDLE registry=LIQUIDITY_DRAINS_BUNDLE; H41-US_FED_RESERVE_BALANCES-2003-01-15 input=FED_BALANCE_SHEET_BUNDLE registry=BANK_RESERVES_BUNDLE; H41-US_TREASURY_GENERAL_ACCOUNT-2003-01-15 input=FED_BALANCE_SHEET_BUNDLE registry=LIQUIDITY_DRAINS_BUNDLE; H41-US_FED_RESERVE_BALANCES-2003-01-22 input=FED_BALANCE_SHEET_BUNDLE registry=BANK_RESERVES_BUNDLE; H41-US_TREASURY_GENERAL_ACCOUNT-2003-01-22 input=FED_BALANCE_SHEET_BUNDLE registry=LIQUIDITY_DRAINS_BUNDLE
R7-ZERO-MAD-FALLBACK,zero-MAD prior-only fallback,PASS,1,0,0,,ASSERTIONS_PASSED
R7-ZERO-MAD-STD,zero-MAD and zero-STD fail closed,PASS,1,0,0,,ASSERTIONS_PASSED
